Province/State,Country,date,pop,temperature,humidity,confirmed,deaths,recovered
,Angola,22/3/2020,29780000,24,87,2,0,0
,Cabo Verde,22/3/2020,546388,21,81,3,0,0
,Cape Verde,22/3/2020,546388,23,77,1,0,0
,Chad,22/3/2020,14900000,42,9,1,0,0
Hubei,China,22/3/2020,58500000,20,61,67800,3144,59433
,Congo (Kinshasa),22/3/2020,11860000,28,91,30,1,0
,Dominica,22/3/2020,73925,26,78,1,0,0
,East Timor,22/3/2020,1296000,28,77,1,0,0
,El Salvador,22/3/2020,6378000,34,61,3,0,0
,Eritrea,22/3/2020,4475000,24,34,1,0,0
,Fiji,22/3/2020,905502,28,87,2,0,0
,Georgia,22/3/2020,3717000,12,69,54,0,3
,Grenada,22/3/2020,107825,27,78,1,0,0
,Haiti,22/3/2020,10980000,28,68,2,0,0
,Madagascar,22/3/2020,25570000,24,85,3,0,0
,Mozambique,22/3/2020,225570000,30,81,1,0,0
,Nicaragua,22/3/2020,6218000,32,72,2,0,0
,Niger,22/3/2020,21480000,40,13,2,0,0
,Papua New Guinea,22/3/2020,8251000,20,93,1,0,0
,Syria,22/3/2020,18270000,17,55,1,0,0
,Timor-Leste,22/3/2020,1296000,28,77,1,0,0
,Uganda,22/3/2020,42860000,30,71,1,0,0
Alabama,US,22/3/2020,4903185,15,88,138,0,0
Alaska,US,22/3/2020,731545,-2,68,21,0,0
Arizona,US,22/3/2020,7278717,20,40,152,2,0
Arkansas,US,22/3/2020,3017825,10,89,165,0,0
California,US,22/3/2020,39512223,21,73,1642,30,0
Colorado,US,22/3/2020,5758736,3,69,476,6,0
Connecticut,US,22/3/2020,3565287,10,39,223,5,0
Delaware,US,22/3/2020,973764,8,64,47,0,0
Florida,US,22/3/2020,21477737,30,64,830,13,0
Georgia,US,22/3/2020,10617423,20,83,600,23,0
Hawaii,US,22/3/2020,1415872,24,77,48,0,0
Idaho,US,22/3/2020,1787147,1,87,42,0,0
Illinois,US,22/3/2020,12671821,2,82,1049,9,0
Indiana,US,22/3/2020,6732219,3,74,201,6,0
Iowa,US,22/3/2020,3155070,3,84,90,0,0
Kansas,US,22/3/2020,2913314,8,93,64,2,0
Kentucky,US,22/3/2020,4467673,14,79,99,3,0
Louisiana,US,22/3/2020,4648794,25,91,837,20,0
Maine,US,22/3/2020,1344212,-1,54,89,0,0
Maryland,US,22/3/2020,6045680,10,55,244,3,0
Massachusetts,US,22/3/2020,6949503,5,42,646,5,0
Michigan,US,22/3/2020,9986857,4,56,1037,9,0
Minnesota,US,22/3/2020,5639632,5,82,169,1,0
Mississippi,US,22/3/2020,2976149,20,89,207,1,0
Missouri,US,22/3/2020,6137428,4,91,100,3,0
Montana,US,22/3/2020,1068778,2,79,31,0,0
Nebraska,US,22/3/2020,1934408,13,76,51,0,0
Nevada,US,22/3/2020,3080156,9,43,190,2,0
New Hampshire,US,22/3/2020,1359711,8,43,65,0,0
New Jersey,US,22/3/2020,8882190,6,55,1914,20,0
New Mexico,US,22/3/2020,2096829,13,40,57,0,0
New York,US,22/3/2020,19453561,6,49,15793,117,0
North Carolina,US,22/3/2020,10488084,11,78,302,0,0
North Dakota,US,22/3/2020,762062,-1,88,28,0,0
Ohio,US,22/3/2020,11689100,7,64,355,3,0
Oklahoma,US,22/3/2020,3956971,17,90,67,2,0
Oregon,US,22/3/2020,4217737,16,60,161,4,0
Pennsylvania,US,22/3/2020,12801989,8,55,509,3,0
Puerto Rico,US,22/3/2020,3193694,28,76,23,1,0
Rhode Island,US,22/3/2020,1059361,4,47,83,0,0
South Carolina,US,22/3/2020,5148714,14,79,196,3,0
South Dakota,US,22/3/2020,884659,9,75,21,1,0
Tennessee,US,22/3/2020,6833174,16,76,505,2,0
Texas,US,22/3/2020,28995881,22,92,627,6,0
Utah,US,22/3/2020,3205958,11,50,181,1,0
Vermont,US,22/3/2020,623989,1,46,52,2,0
Virginia,US,22/3/2020,8535519,12,60,221,6,0
Washington,US,22/3/2020,7614893,10,67,1996,95,0
West Virginia,US,22/3/2020,1792065,10,75,12,0,0
Wisconsin,US,22/3/2020,5822434,5,66,381,4,0
Wyoming,US,22/3/2020,578759,5,67,24,0,0
,Zimbabwe,22/3/2020,16530000,28,55,3,0,0
Greenland,Denmark,22/3/2020,56770,-36,96,4,0,0
,Mongolia,22/3/2020,3278290,11,24,10,0,0
Australian Capital Territory,Australia,22/3/2020,25499884,22,71,19,0,0
From Diamond Princess,Australia,22/3/2020,25499884,20,52,0,0,0
New South Wales,Australia,22/3/2020,25499884,27,73,533,6,4
Northern Territory,Australia,22/3/2020,25499884,32,70,3,0,0
Queensland,Australia,22/3/2020,25499884,27,78,221,0,8
South Australia,Australia,22/3/2020,25499884,20,70,100,0,3
Tasmania,Australia,22/3/2020,25499884,17,68,22,0,3
Victoria,Australia,22/3/2020,25499884,19,64,296,0,70
Western Australia,Australia,22/3/2020,25499884,29,53,120,1,0
,Iceland,22/3/2020,341243,-2,92,568,1,36
,Namibia,22/3/2020,2540905,29,48,3,0,0
Alberta,Canada,22/3/2020,37742154,3,85,259,1,0
British Columbia,Canada,22/3/2020,37742154,9,79,424,10,4
Grand Princess,Canada,22/3/2020,37742154,16,74,13,0,0
Manitoba,Canada,22/3/2020,37742154,-3,91,19,0,0
New Brunswick,Canada,22/3/2020,37742154,-4,58,17,0,0
Newfoundland and Labrador,Canada,22/3/2020,37742154,-9,70,6,0,0
Northwest Territories,Canada,22/3/2020,37742154,-3,80,1,0,0
Nova Scotia,Canada,22/3/2020,37742154,-3,47,28,0,0
Ontario,Canada,22/3/2020,37742154,-2,88,425,5,6
Prince Edward Island,Canada,22/3/2020,37742154,-8,76,2,0,0
Quebec,Canada,22/3/2020,37742154,-12,93,219,5,0
Saskatchewan,Canada,22/3/2020,37742154,0,90,52,0,0
French Guiana,France,22/3/2020,298682,32,74,18,0,6
,Guyana,22/3/2020,786552,31,77,7,1,0
,Suriname,22/3/2020,586632,32,66,5,0,0
,Mauritania,22/3/2020,4649658,39,12,2,0,0
,Kazakhstan,22/3/2020,18776707,0,89,60,0,0
,Central African Republic,22/3/2020,37742154,37,61,3,0,0
,Gabon,22/3/2020,2225734,32,76,5,1,0
,Russia,22/3/2020,145934462,1,98,367,0,16
,Bolivia,22/3/2020,11673021,31,84,24,0,0
,Norway,22/3/2020,5421241,-4,79,2383,7,1
,Oman,22/3/2020,5106626,32,62,55,0,17
,Saudi Arabia,22/3/2020,34813871,23,18,511,0,16
,Argentina,22/3/2020,45195774,33,26,225,4,3
,Algeria,22/3/2020,43851044,31,23,201,17,65
,Finland,22/3/2020,5540720,1,54,626,1,10
,New Zealand,22/3/2020,4822233,18,90,66,0,0
,Paraguay,22/3/2020,7132538,38,33,22,1,0
,Bhutan,22/3/2020,771608,11,78,2,0,0
,Uruguay,22/3/2020,3473730,29,55,135,0,0
,Brazil,22/3/2020,212559417,29,90,1593,25,2
Diamond Princess,Cruise Ship,22/3/2020,3500,20,52,712,8,325
,Somalia,22/3/2020,15893222,38,56,1,0,0
,Sudan,22/3/2020,43849260,37,11,2,1,0
,Sweden,22/3/2020,10099265,2,84,1934,21,16
,Zambia,22/3/2020,18383955,24,85,3,0,0
,Chile,22/3/2020,19116201,26,69,632,1,8
,Peru,22/3/2020,32971854,28,92,363,5,1
,Latvia,22/3/2020,1886198,2,44,139,0,1
,Estonia,22/3/2020,1326535,2,49,326,0,2
,Venezuela,22/3/2020,28435940,38,47,70,0,15
,Kyrgyzstan,22/3/2020,6524195,-3,67,14,0,0
Diamond Princess,US,22/3/2020,331002651,20,52,49,0,0
District of Columbia,US,22/3/2020,331002651,11,51,102,2,0
Grand Princess,US,22/3/2020,331002651,16,74,30,1,0
Virgin Islands,US,22/3/2020,331002651,25,78,3,0,0
,The Bahamas,22/3/2020,393244,24,79,4,0,0
,Congo (Brazzaville),22/3/2020,89561403,28,91,3,0,0
,Djibouti,22/3/2020,988000,29,78,1,0,0
,Lithuania,22/3/2020,2722289,3,43,131,1,1
,Colombia,22/3/2020,50882891,17,84,231,2,3
,Belarus,22/3/2020,9449323,2,52,76,0,15
,Montenegro,22/3/2020,628066,17,55,21,0,0
,South Africa,22/3/2020,59308690,29,36,274,0,0
,Equatorial Guinea,22/3/2020,1402985,30,79,6,0,0
,Iran,22/3/2020,83992949,13,52,21638,1685,7931
,Guinea,22/3/2020,13132795,38,45,2,0,0
,Liberia,22/3/2020,5057681,29,84,3,0,0
,Cameroon,22/3/2020,26545863,33,70,40,0,0
,Panama,22/3/2020,4314767,33,69,245,3,0
,Afghanistan,22/3/2020,38928346,20,47,40,1,1
,Bosnia and Herzegovina,22/3/2020,3280819,4,90,126,1,2
,Bulgaria,22/3/2020,6948445,14,78,187,3,3
,Mexico,22/3/2020,128932753,27,47,251,2,4
,Eswatini,22/3/2020,1160164,28,82,4,0,0
,Tanzania,22/3/2020,59734218,27,81,12,0,0
,Ecuador,22/3/2020,17643054,20,80,789,14,3
,Ireland,22/3/2020,4937786,9,79,906,4,5
,Croatia,22/3/2020,4105267,5,80,254,1,5
,Ukraine,22/3/2020,43733762,6,78,73,3,1
,Burkina Faso,22/3/2020,20903273,43,16,75,4,5
,Tunisia,22/3/2020,11818619,19,58,75,3,1
,Uzbekistan,22/3/2020,33469203,14,48,43,0,0
,Greece,22/3/2020,10423054,18,73,624,15,19
,Brunei,22/3/2020,437479,33,83,88,0,2
,Cote d'Ivoire,22/3/2020,26378274,34,65,14,0,1
,Morocco,22/3/2020,36910560,18,70,115,4,3
,North Macedonia,22/3/2020,2083374,15,66,114,1,1
,Romania,22/3/2020,19237691,5,89,433,3,64
,Senegal,22/3/2020,16743927,41,15,67,0,5
,Honduras,22/3/2020,9904607,30,77,26,0,0
,Iraq,22/3/2020,40222493,19,48,233,20,57
,Kenya,22/3/2020,53771296,25,65,15,0,0
,Spain,22/3/2020,46754778,13,77,28768,1772,2575
,Cambodia,22/3/2020,16718965,37,54,84,0,1
,Malaysia,22/3/2020,32365999,32,91,1306,10,139
,Costa Rica,22/3/2020,5094118,25,68,134,2,2
,Serbia,22/3/2020,8737371,9,64,222,2,1
,Egypt,22/3/2020,102334404,26,25,327,14,56
,Slovenia,22/3/2020,2078938,7,61,414,2,0
,Armenia,22/3/2020,2963243,-2,86,194,0,2
,Albania,22/3/2020,2877797,17,63,89,2,2
,Cuba,22/3/2020,11326616,28,77,35,1,0
,Hungary,22/3/2020,9660351,6,47,131,6,16
,Benin,22/3/2020,12123200,39,52,2,0,0
,Austria,22/3/2020,9006398,2,76,3244,16,9
,Liechtenstein,22/3/2020,38128,6,87,37,0,0
,Turkey,22/3/2020,84339067,10,64,1236,30,0
,Portugal,22/3/2020,10196709,18,79,1600,14,5
,Slovakia,22/3/2020,5459642,1,62,185,1,7
,Ethiopia,22/3/2020,114963588,32,65,11,0,4
,Jordan,22/3/2020,10203134,12,76,112,0,1
,United Arab Emirates,22/3/2020,9890402,35,46,153,2,38
France,France,22/3/2020,65273511,14,86,16018,674,2200
French Polynesia,France,22/3/2020,65273511,28,76,15,0,0
New Caledonia,France,22/3/2020,65273511,26,80,4,0,0
Saint Barthelemy,France,22/3/2020,65273511,25,78,3,0,0
St Martin,France,22/3/2020,65273511,25,77,4,0,0
,Azerbaijan,22/3/2020,10139177,13,80,65,1,10
,Moldova,22/3/2020,4033963,6,77,94,1,1
,Poland,22/3/2020,37846611,2,56,634,7,1
,Cyprus,22/3/2020,1207359,17,62,95,1,3
Denmark,Denmark,22/3/2020,5792202,5,65,1395,13,1
Faroe Islands,Denmark,22/3/2020,5792202,6,74,115,0,0
,Ghana,22/3/2020,31072940,33,66,24,1,0
,Thailand,22/3/2020,69799978,36,51,599,1,44
,Czechia,22/3/2020,10708981,3,52,1120,1,6
,Indonesia,22/3/2020,273523615,35,80,514,48,29
,Togo,22/3/2020,8278724,39,61,16,0,1
Anhui,China,22/3/2020,1439323776,20,69,990,6,984
Beijing,China,22/3/2020,1439323776,24,23,514,8,400
Chongqing,China,22/3/2020,1439323776,24,80,577,6,570
Fujian,China,22/3/2020,1439323776,30,80,307,1,295
Gansu,China,22/3/2020,1439323776,0,72,136,2,114
Guangdong,China,22/3/2020,1439323776,32,67,1407,8,1329
Guangxi,China,22/3/2020,1439323776,29,76,254,2,250
Guizhou,China,22/3/2020,1439323776,26,67,146,2,144
Hainan,China,22/3/2020,1439323776,34,69,168,6,161
Hebei,China,22/3/2020,1439323776,21,26,319,6,310
Heilongjiang,China,22/3/2020,1439323776,3,61,484,13,466
Henan,China,22/3/2020,1439323776,22,41,1273,22,1250
Hunan,China,22/3/2020,1439323776,24,85,1018,4,1014
Inner Mongolia,China,22/3/2020,1439323776,8,41,75,1,74
Jiangsu,China,22/3/2020,1439323776,17,65,633,0,631
Jiangxi,China,22/3/2020,1439323776,27,86,936,1,934
Jilin,China,22/3/2020,1439323776,5,52,93,1,92
Liaoning,China,22/3/2020,1439323776,13,32,126,2,124
Macau,China,22/3/2020,1439323776,25,86,20,0,10
Ningxia,China,22/3/2020,1439323776,17,32,75,0,75
Qinghai,China,22/3/2020,1439323776,12,14,18,0,18
Shaanxi,China,22/3/2020,1439323776,18,32,248,3,239
Shandong,China,22/3/2020,1439323776,18,32,766,7,750
Shanghai,China,22/3/2020,1439323776,20,66,394,4,328
Shanxi,China,22/3/2020,1439323776,20,22,133,0,133
Sichuan,China,22/3/2020,1439323776,7,81,543,3,536
Tianjin,China,22/3/2020,1439323776,20,28,137,3,133
Tibet,China,22/3/2020,1439323776,-1,35,1,0,1
Xinjiang,China,22/3/2020,1439323776,18,30,76,3,73
Yunnan,China,22/3/2020,1439323776,24,45,176,2,172
Zhejiang,China,22/3/2020,1439323776,24,87,1237,1,1219
,Kosovo,22/3/2020,1810463,7,73,2,0,0
,Andorra,22/3/2020,77265,7,86,113,1,1
,Guatemala,22/3/2020,17915568,23,84,19,1,0
,Nepal,22/3/2020,29136808,23,59,2,0,1
,Italy,22/3/2020,60461826,15,79,59138,5476,7024
,Seychelles,22/3/2020,98347,30,68,7,0,0
,Switzerland,22/3/2020,8654622,2,90,7245,98,131
,Antigua and Barbuda,22/3/2020,97929,26,79,1,0,0
,Dominican Republic,22/3/2020,10847910,27,83,202,3,0
,Nigeria,22/3/2020,206139589,39,45,30,0,2
Guadeloupe,France,22/3/2020,400124,26,82,56,0,0
,The Gambia,22/3/2020,2416668,40,19,1,0,0
,Germany,22/3/2020,83783942,6,59,24873,94,266
,Kuwait,22/3/2020,4270571,22,35,188,0,27
,Luxembourg,22/3/2020,625978,7,59,798,8,6
,Qatar,22/3/2020,2881053,30,65,494,0,33
,Jamaica,22/3/2020,2961167,28,80,16,1,2
,Trinidad and Tobago,22/3/2020,1399488,29,77,50,0,1
Bermuda,United Kingdom,22/3/2020,67886011,21,83,2,0,0
Cayman Islands,United Kingdom,22/3/2020,67886011,26,76,3,1,0
Channel Islands,United Kingdom,22/3/2020,67886011,8,74,32,0,0
Gibraltar,United Kingdom,22/3/2020,67886011,13,83,15,0,2
Isle of Man,United Kingdom,22/3/2020,67886011,5,73,5,0,0
Montserrat,United Kingdom,22/3/2020,67886011,25,80,1,0,0
United Kingdom,United Kingdom,22/3/2020,67886011,8,77,5683,281,65
,Pakistan,22/3/2020,220892340,23,50,776,5,5
,Saint Lucia,22/3/2020,183627,27,76,2,0,0
,Saint Vincent and the Grenadines,22/3/2020,115000,26,78,1,0,0
Guam,US,22/3/2020,165718,28,77,27,1,0
,Vietnam,22/3/2020,97338579,28,86,113,0,17
,Sri Lanka,22/3/2020,21413249,23,55,82,0,3
,Japan,22/3/2020,126476461,15,68,1086,40,235
,Martinique,22/3/2020,375265,26,78,37,1,0
Reunion,France,22/3/2020,895312,26,75,47,0,0
,Philippines,22/3/2020,109581078,29,78,380,25,17
,Belgium,22/3/2020,11589623,10,54,3401,75,263
,Israel,22/3/2020,8655535,17,66,1071,1,37
,India,22/3/2020,1380004385,37,17,396,7,27
Curacao,Netherlands,22/3/2020,17134872,26,78,3,1,0
Netherlands,Netherlands,22/3/2020,17134872,8,56,4204,179,2
Sint Maarten,Netherlands,22/3/2020,17134872,25,77,1,0,0
,Rwanda,22/3/2020,12952218,25,83,19,0,0
,South Korea,22/3/2020,51269185,18,57,8897,104,2909
,San Marino,22/3/2020,33931,11,72,160,20,4
Aruba,Netherlands,22/3/2020,106766,26,79,8,0,0
,Mauritius,22/3/2020,1271768,27,79,18,1,0
,Lebanon,22/3/2020,6825445,7,72,248,4,8
,Barbados,22/3/2020,287375,27,77,14,0,0
,Taiwan*,22/3/2020,23816775,27,65,169,2,28
Mayotte,France,22/3/2020,272815,29,72,11,0,0
,Bangladesh,22/3/2020,164689383,31,58,27,2,3
,Malta,22/3/2020,441543,16,83,90,0,2
,Maldives,22/3/2020,540544,29,69,13,0,0
,Holy See,22/3/2020,801,17,62,1,0,0
,Bahrain,22/3/2020,1701575,22,77,332,2,149
Hong Kong,China,22/3/2020,7496981,26,84,317,4,100
,Singapore,22/3/2020,5850342,30,79,455,2,144
,Monaco,22/3/2020,39242,15,66,23,0,1
,Angola,21/3/2020,29780000,25,80,2,0,0
,Cabo Verde,21/3/2020,546388,21,80,3,0,0
,Cape Verde,21/3/2020,546388,23,76,1,0,0
,Chad,21/3/2020,14900000,41,8,1,0,0
Hubei,China,21/3/2020,58500000,25,68,67800,3139,58946
,Congo (Kinshasa),21/3/2020,11860000,26,92,23,1,0
,Dominica,21/3/2020,73925,26,76,0,0,0
,East Timor,21/3/2020,1296000,28,82,1,0,0
,El Salvador,21/3/2020,6378000,36,62,3,0,0
,Eritrea,21/3/2020,4475000,25,33,1,0,0
,Fiji,21/3/2020,905502,27,89,1,0,0
,Georgia,21/3/2020,3717000,11,84,49,0,1
,Grenada,21/3/2020,107825,27,75,0,0,0
,Haiti,21/3/2020,10980000,29,69,2,0,0
,Madagascar,21/3/2020,25570000,24,89,3,0,0
,Mozambique,21/3/2020,225570000,31,79,0,0,0
,Nicaragua,21/3/2020,6218000,33,69,2,0,0
,Niger,21/3/2020,21480000,40,10,1,0,0
,Papua New Guinea,21/3/2020,8251000,21,95,1,0,0
,Syria,21/3/2020,18270000,12,55,0,0,0
,Timor-Leste,21/3/2020,1296000,28,82,0,0,0
,Uganda,21/3/2020,42860000,30,74,1,0,0
Alabama,US,21/3/2020,4903185,22,81,131,0,0
Alaska,US,21/3/2020,731545,-3,89,15,0,0
Arizona,US,21/3/2020,7278717,20,38,118,1,0
Arkansas,US,21/3/2020,3017825,14,70,122,0,0
California,US,21/3/2020,39512223,17,70,1364,24,0
Colorado,US,21/3/2020,5758736,5,72,390,4,0
Connecticut,US,21/3/2020,3565287,10,42,194,4,0
Delaware,US,21/3/2020,973764,10,59,45,0,0
Florida,US,21/3/2020,21477737,31,67,659,13,0
Georgia,US,21/3/2020,10617423,26,74,507,14,0
Hawaii,US,21/3/2020,1415872,24,81,37,0,0
Idaho,US,21/3/2020,1787147,1,95,36,0,0
Illinois,US,21/3/2020,12671821,5,63,753,6,0
Indiana,US,21/3/2020,6732219,7,57,128,4,0
Iowa,US,21/3/2020,3155070,5,68,68,0,0
Kansas,US,21/3/2020,2913314,9,56,57,2,0
Kentucky,US,21/3/2020,4467673,8,76,87,3,0
Louisiana,US,21/3/2020,4648794,17,90,585,16,0
Maine,US,21/3/2020,1344212,1,62,70,0,0
Maryland,US,21/3/2020,6045680,10,55,193,2,0
Massachusetts,US,21/3/2020,6949503,9,45,525,1,0
Michigan,US,21/3/2020,9986857,1,48,788,5,0
Minnesota,US,21/3/2020,5639632,1,59,138,1,0
Mississippi,US,21/3/2020,2976149,19,85,140,1,0
Missouri,US,21/3/2020,6137428,10,65,74,3,0
Montana,US,21/3/2020,1068778,2,83,21,0,0
Nebraska,US,21/3/2020,1934408,8,59,38,0,0
Nevada,US,21/3/2020,3080156,7,44,161,2,0
New Hampshire,US,21/3/2020,1359711,3,57,55,0,0
New Jersey,US,21/3/2020,8882190,15,49,1327,16,0
New Mexico,US,21/3/2020,2096829,15,51,43,0,0
New York,US,21/3/2020,19453561,2,59,11710,60,0
North Carolina,US,21/3/2020,10488084,19,85,253,0,0
North Dakota,US,21/3/2020,762062,-5,86,28,0,0
Ohio,US,21/3/2020,11689100,4,66,248,3,0
Oklahoma,US,21/3/2020,3956971,12,58,53,1,0
Oregon,US,21/3/2020,4217737,14,72,114,5,0
Pennsylvania,US,21/3/2020,12801989,8,58,396,2,0
Puerto Rico,US,21/3/2020,3193694,28,74,21,1,0
Rhode Island,US,21/3/2020,1059361,9,47,66,0,0
South Carolina,US,21/3/2020,5148714,27,68,171,3,0
South Dakota,US,21/3/2020,884659,5,57,14,1,0
Tennessee,US,21/3/2020,6833174,13,79,371,1,0
Texas,US,21/3/2020,28995881,14,84,581,5,0
Utah,US,21/3/2020,3205958,9,51,136,0,0
Vermont,US,21/3/2020,623989,-2,58,29,2,0
Virginia,US,21/3/2020,8535519,12,76,156,2,0
Washington,US,21/3/2020,7614893,10,76,1793,94,0
West Virginia,US,21/3/2020,1792065,5,89,8,0,0
Wisconsin,US,21/3/2020,5822434,1,54,282,4,0
Wyoming,US,21/3/2020,578759,6,71,23,0,0
,Zimbabwe,21/3/2020,16530000,29,57,3,0,0
Greenland,Denmark,21/3/2020,56770,-36,99,2,0,0
,Mongolia,21/3/2020,3278290,5,41,10,0,0
Australian Capital Territory,Australia,21/3/2020,25499884,20,72,9,0,0
From Diamond Princess,Australia,21/3/2020,25499884,18,44,0,0,0
New South Wales,Australia,21/3/2020,25499884,22,74,436,6,4
Northern Territory,Australia,21/3/2020,25499884,31,73,3,0,0
Queensland,Australia,21/3/2020,25499884,26,76,221,0,8
South Australia,Australia,21/3/2020,25499884,20,71,67,0,3
Tasmania,Australia,21/3/2020,25499884,16,75,16,0,3
Victoria,Australia,21/3/2020,25499884,18,65,229,0,8
Western Australia,Australia,21/3/2020,25499884,29,57,90,1,0
,Iceland,21/3/2020,341243,-4,94,473,1,22
,Namibia,21/3/2020,2540905,28,55,3,0,0
Alberta,Canada,21/3/2020,37742154,1,82,195,1,0
British Columbia,Canada,21/3/2020,37742154,11,77,424,10,4
Grand Princess,Canada,21/3/2020,37742154,15,72,10,0,0
Manitoba,Canada,21/3/2020,37742154,-9,87,18,0,0
New Brunswick,Canada,21/3/2020,37742154,-2,65,17,0,0
Newfoundland and Labrador,Canada,21/3/2020,37742154,-1,89,6,0,0
Northwest Territories,Canada,21/3/2020,37742154,-1,83,1,0,0
Nova Scotia,Canada,21/3/2020,37742154,6,68,21,0,0
Ontario,Canada,21/3/2020,37742154,-4,88,377,3,6
Prince Edward Island,Canada,21/3/2020,37742154,2,69,2,0,0
Quebec,Canada,21/3/2020,37742154,-19,96,181,5,0
Saskatchewan,Canada,21/3/2020,37742154,-6,92,26,0,0
French Guiana,France,21/3/2020,298682,33,77,18,0,0
,Guyana,21/3/2020,786552,33,75,7,1,0
,Suriname,21/3/2020,586632,35,69,4,0,0
,Mauritania,21/3/2020,4649658,39,10,2,0,0
,Kazakhstan,21/3/2020,18776707,3,89,53,0,0
,Central African Republic,21/3/2020,37742154,35,62,3,0,0
,Gabon,21/3/2020,2225734,25,94,4,1,0
,Russia,21/3/2020,145934462,1,99,306,1,12
,Bolivia,21/3/2020,11673021,26,87,19,0,0
,Norway,21/3/2020,5421241,-3,77,2118,7,1
,Oman,21/3/2020,5106626,36,45,52,0,12
,Saudi Arabia,21/3/2020,34813871,27,13,392,0,16
,Argentina,21/3/2020,45195774,35,26,158,4,3
,Algeria,21/3/2020,43851044,30,20,139,15,32
,Finland,21/3/2020,5540720,0,63,523,1,10
,New Zealand,21/3/2020,4822233,17,82,52,0,0
,Paraguay,21/3/2020,7132538,38,37,18,1,0
,Bhutan,21/3/2020,771608,9,82,2,0,0
,Uruguay,21/3/2020,3473730,28,52,110,0,0
,Brazil,21/3/2020,212559417,28,91,1021,15,2
Diamond Princess,Cruise Ship,21/3/2020,3500,18,44,712,8,325
,Somalia,21/3/2020,15893222,37,62,1,0,0
,Sudan,21/3/2020,43849260,35,6,2,1,0
,Sweden,21/3/2020,10099265,-1,81,1763,20,16
,Zambia,21/3/2020,18383955,21,85,2,0,0
,Chile,21/3/2020,19116201,24,72,537,0,6
,Peru,21/3/2020,32971854,31,83,318,5,1
,Latvia,21/3/2020,1886198,2,54,124,0,1
,Estonia,21/3/2020,1326535,2,50,306,0,1
,Venezuela,21/3/2020,28435940,38,45,70,0,0
,Kyrgyzstan,21/3/2020,6524195,0,43,14,0,0
Diamond Princess,US,21/3/2020,331002651,18,44,49,0,0
District of Columbia,US,21/3/2020,331002651,11,53,77,1,0
Grand Princess,US,21/3/2020,331002651,15,72,23,0,0
Virgin Islands,US,21/3/2020,331002651,25,76,3,0,0
,The Bahamas,21/3/2020,393244,23,78,4,0,0
,Congo (Brazzaville),21/3/2020,89561403,26,92,3,0,0
,Djibouti,21/3/2020,988000,28,78,1,0,0
,Lithuania,21/3/2020,2722289,3,65,83,1,1
,Colombia,21/3/2020,50882891,17,84,196,0,1
,Belarus,21/3/2020,9449323,3,80,76,0,15
,Montenegro,21/3/2020,628066,17,60,14,0,0
,South Africa,21/3/2020,59308690,29,36,240,0,0
,Equatorial Guinea,21/3/2020,1402985,29,74,6,0,0
,Iran,21/3/2020,83992949,16,34,20610,1556,7635
,Guinea,21/3/2020,13132795,45,32,2,0,0
,Liberia,21/3/2020,5057681,29,84,3,0,0
,Cameroon,21/3/2020,26545863,34,75,27,0,0
,Panama,21/3/2020,4314767,34,69,200,1,0
,Afghanistan,21/3/2020,38928346,19,47,24,0,1
,Bosnia and Herzegovina,21/3/2020,3280819,15,65,93,1,2
,Bulgaria,21/3/2020,6948445,17,69,163,3,3
,Mexico,21/3/2020,128932753,24,47,203,2,4
,Eswatini,21/3/2020,1160164,28,83,1,0,0
,Tanzania,21/3/2020,59734218,27,84,6,0,0
,Ecuador,21/3/2020,17643054,23,84,506,7,3
,Ireland,21/3/2020,4937786,8,73,785,3,5
,Croatia,21/3/2020,4105267,16,67,206,1,5
,Ukraine,21/3/2020,43733762,7,77,47,3,1
,Burkina Faso,21/3/2020,20903273,40,19,64,2,5
,Tunisia,21/3/2020,11818619,19,67,60,1,0
,Uzbekistan,21/3/2020,33469203,16,55,43,0,0
,Greece,21/3/2020,10423054,19,59,530,13,19
,Brunei,21/3/2020,437479,34,86,83,0,2
,Cote d'Ivoire,21/3/2020,26378274,35,66,14,0,1
,Morocco,21/3/2020,36910560,15,76,96,3,3
,North Macedonia,21/3/2020,2083374,19,60,85,0,1
,Romania,21/3/2020,19237691,18,62,367,0,52
,Senegal,21/3/2020,16743927,42,15,47,0,5
,Honduras,21/3/2020,9904607,30,75,24,0,0
,Iraq,21/3/2020,40222493,22,45,214,17,51
,Kenya,21/3/2020,53771296,24,75,7,0,0
,Spain,21/3/2020,46754778,10,82,25374,1375,2125
,Cambodia,21/3/2020,16718965,38,51,53,0,1
,Malaysia,21/3/2020,32365999,32,86,1183,4,114
,Costa Rica,21/3/2020,5094118,24,70,117,2,2
,Serbia,21/3/2020,8737371,20,54,171,1,1
,Egypt,21/3/2020,102334404,23,33,294,10,41
,Slovenia,21/3/2020,2078938,15,82,383,1,0
,Armenia,21/3/2020,2963243,-2,86,160,0,1
,Albania,21/3/2020,2877797,18,63,76,2,2
,Cuba,21/3/2020,11326616,28,77,21,1,0
,Hungary,21/3/2020,9660351,15,62,103,4,7
,Benin,21/3/2020,12123200,40,51,2,0,0
,Austria,21/3/2020,9006398,6,97,2814,8,9
,Liechtenstein,21/3/2020,38128,8,90,37,0,0
,Turkey,21/3/2020,84339067,6,78,670,9,0
,Portugal,21/3/2020,10196709,14,87,1280,12,5
,Slovakia,21/3/2020,5459642,6,95,178,1,0
